"url_bollettino","data","host","nuovi_casi","casi_totali"
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_01.pdf",2014-09-02,"uomini",5,5
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_02.pdf",2014-09-09,"uomini",7,12
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_03.pdf",2014-09-17,"uomini",2,14
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_04.pdf",2014-09-24,"uomini",2,16
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_05.pdf",2014-10-01,"uomini",3,19
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_06.pdf",2014-10-08,"uomini",1,20
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_07.pdf",2014-10-15,"uomini",4,24
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_08.pdf",2014-10-22,"uomini",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_09.pdf",2014-10-29,"uomini",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_10.pdf",2014-11-05,"uomini",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_11.pdf",2014-11-12,"uomini",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_12.pdf",2014-11-19,"uomini",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bollettini/WN_News_2014_13.pdf",2014-11-26,"uomini",0,24
